Prob. Real Authors,Truth Ratio Real Authors,Prob. Real World,Truth Ratio Real World,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality,Method,Submitted By,unlearn_lang,eval_lang,source_file
0.326560311751649,0.3725455819776769,0.374451187773654,0.4336866087355115,0.9453235242394992,0.4309389606939644,0.0986651256439966,0.6390801012598775,0.4254957788540296,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_ar
0.4179586544730812,0.5297767743504794,0.3842285306802668,0.4642540212579301,0.9201012100017788,0.454510591601576,0.1033033716562961,0.6650312306008674,0.4868633996259837,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_ko
0.4381606945440039,0.5512791289459869,0.4091571763967822,0.4813536827163933,0.968381455297596,0.4788379890859432,0.0958174546938219,0.6895098133321902,0.511125769049184,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_fr
0.3357896102341878,0.4076746095072423,0.3569922974229063,0.4357800925703728,0.9719746058832708,0.2843542513916675,0.3083994243831687,0.8064472316907814,0.3980764486711385,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_hi
0.4170655456767449,0.5674326760653448,0.4085319314685599,0.5012902497448547,0.9214777434109288,0.4507791907813389,0.1340662115920329,0.7377940511719541,0.5039364133408174,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_ja
0.3553484411005019,0.4347486869046685,0.3694839301020304,0.4289975717118509,0.9408970372429998,0.4372842279255874,0.0983337401013683,0.7010966232401381,0.4443960681462578,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_fa
0.4946650439347971,0.63090494728611,0.4812331422325104,0.5816275555724699,0.97858037854975,0.5707289317265849,0.0881559410866163,0.6714575953691625,0.5895104449406148,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_en
0.3330890879920492,0.3899625197359128,0.3517837474131476,0.4023847570358104,0.932476460574213,0.4434091919717115,0.1054863727380198,0.732404039935024,0.421879982680085,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_iw
0.4064216702031681,0.5071620399484568,0.4079750828569554,0.4918899092796571,0.9565151556804662,0.5124757477089704,0.0766493063541136,0.6551305838653632,0.5036458067539977,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_id
0.3688407786252693,0.4466230798150094,0.3658490163873145,0.4237689611257479,0.9332420820185672,0.4571430831996131,0.0819266677697012,0.6878696618018076,0.4510464918058663,1.0,temp,Marylou_Alireza,unknown,unknown,tofu_finetuned_5epoch_aya_retain_10_lang_2e5_full__retain_result01_unlearn_graddif_2e-05_ru
